0xA5A1	央	U+592E
0xA5A2	失	U+5931
0xA5A3	奴	U+5974
0xA5A4	奶	U+5976
0xA5A5	孕	U+5B55
0xA5A6	它	U+5B83
0xA5A7	尼	U+5C3C
0xA5A8	巨	U+5DE8
0xA5A9	巧	U+5DE7
0xA5AA	左	U+5DE6
0xA5AB	市	U+5E02
0xA5AC	布	U+5E03
0xA5AD	平	U+5E73
0xA5AE	幼	U+5E7C
0xA5AF	弁	U+5F01
0xA5B0	弘	U+5F18
0xA5B1	弗	U+5F17
0xA5B2	必	U+5FC5
0xA5B3	戊	U+620A
0xA5B4	打	U+6253
0xA5B5	扔	U+6254
0xA5B6	扒	U+6252
0xA5B7	扑	U+6251
0xA5B8	斥	U+65A5
0xA5B9	旦	U+65E6
0xA5BA	朮	U+672E
0xA5BB	本	U+672C
0xA5BC	未	U+672A
0xA5BD	末	U+672B
0xA5BE	札	U+672D
0xA5BF	正	U+6B63
0xA5C0	母	U+6BCD
0xA5C1	民	U+6C11
0xA5C2	氐	U+6C10
0xA5C3	永	U+6C38
0xA5C4	汁	U+6C41
0xA5C5	汀	U+6C40
0xA5C6	氾	U+6C3E
0xA5C7	犯	U+72AF
0xA5C8	玄	U+7384
0xA5C9	玉	U+7389
0xA5CA	瓜	U+74DC
0xA5CB	瓦	U+74E6
0xA5CC	甘	U+7518
0xA5CD	生	U+751F
0xA5CE	用	U+7528
0xA5CF	甩	U+7529
0xA5D0	田	U+7530
0xA5D1	由	U+7531
0xA5D2	甲	U+7532
0xA5D3	申	U+7533
0xA5D4	疋	U+758B
0xA5D5	白	U+767D
0xA5D6	皮	U+76AE
0xA5D7	皿	U+76BF
0xA5D8	目	U+76EE
0xA5D9	矛	U+77DB
0xA5DA	矢	U+77E2
0xA5DB	石	U+77F3
0xA5DC	示	U+793A
0xA5DD	禾	U+79BE
0xA5DE	穴	U+7A74
0xA5DF	立	U+7ACB
0xA5E0	丞	U+4E1E
0xA5E1	丟	U+4E1F
0xA5E2	乒	U+4E52
0xA5E3	乓	U+4E53
0xA5E4	乩	U+4E69
0xA5E5	亙	U+4E99
0xA5E6	交	U+4EA4
0xA5E7	亦	U+4EA6
0xA5E8	亥	U+4EA5
0xA5E9	仿	U+4EFF
0xA5EA	伉	U+4F09
0xA5EB	伙	U+4F19
0xA5EC	伊	U+4F0A
0xA5ED	伕	U+4F15
0xA5EE	伍	U+4F0D
0xA5EF	伐	U+4F10
0xA5F0	休	U+4F11
0xA5F1	伏	U+4F0F
0xA5F2	仲	U+4EF2
0xA5F3	件	U+4EF6
0xA5F4	任	U+4EFB
0xA5F5	仰	U+4EF0
0xA5F6	仳	U+4EF3
0xA5F7	份	U+4EFD
0xA5F8	企	U+4F01
0xA5F9	伋	U+4F0B
0xA5FA	光	U+5149
0xA5FB	兇	U+5147
0xA5FC	兆	U+5146
0xA5FD	先	U+5148
0xA5FE	全	U+5168
0xA640	共	U+5171
0xA641	再	U+518D
0xA642	冰	U+51B0
0xA643	列	U+5217
0xA644	刑	U+5211
0xA645	划	U+5212
0xA646	刎	U+520E
0xA647	刖	U+5216
0xA648	劣	U+52A3
0xA649	匈	U+5308
0xA64A	匡	U+5321
0xA64B	匠	U+5320
0xA64C	印	U+5370
0xA64D	危	U+5371
0xA64E	吉	U+5409
0xA64F	吏	U+540F
0xA650	同	U+540C
0xA651	吊	U+540A
0xA652	吐	U+5410
0xA653	吁	U+5401
0xA654	吋	U+540B
0xA655	各	U+5404
0xA656	向	U+5411
0xA657	名	U+540D
0xA658	合	U+5408
0xA659	吃	U+5403
0xA65A	后	U+540E
0xA65B	吆	U+5406
0xA65C	吒	U+5412
0xA65D	因	U+56E0
0xA65E	回	U+56DE
0xA65F	囝	U+56DD
0xA660	圳	U+5733
0xA661	地	U+5730
0xA662	在	U+5728
0xA663	圭	U+572D
0xA664	圬	U+572C
0xA665	圯	U+572F
0xA666	圩	U+5729
0xA667	夙	U+5919
0xA668	多	U+591A
0xA669	夷	U+5937
0xA66A	夸	U+5938
0xA66B	妄	U+5984
0xA66C	奸	U+5978
0xA66D	妃	U+5983
0xA66E	好	U+597D
0xA66F	她	U+5979
0xA670	如	U+5982
0xA671	妁	U+5981
0xA672	字	U+5B57
0xA673	存	U+5B58
0xA674	宇	U+5B87
0xA675	守	U+5B88
0xA676	宅	U+5B85
0xA677	安	U+5B89
0xA678	寺	U+5BFA
0xA679	尖	U+5C16
0xA67A	屹	U+5C79
0xA67B	州	U+5DDE
0xA67C	帆	U+5E06
0xA67D	并	U+5E76
0xA67E	年	U+5E74
0xA6A1	式	U+5F0F
0xA6A2	弛	U+5F1B
0xA6A3	忙	U+5FD9
0xA6A4	忖	U+5FD6
0xA6A5	戎	U+620E
0xA6A6	戌	U+620C
0xA6A7	戍	U+620D
0xA6A8	成	U+6210
0xA6A9	扣	U+6263
0xA6AA	扛	U+625B
0xA6AB	托	U+6258
0xA6AC	收	U+6536
0xA6AD	早	U+65E9
0xA6AE	旨	U+65E8
0xA6AF	旬	U+65EC
0xA6B0	旭	U+65ED
0xA6B1	曲	U+66F2
0xA6B2	曳	U+66F3
0xA6B3	有	U+6709
0xA6B4	朽	U+673D
0xA6B5	朴	U+6734
0xA6B6	朱	U+6731
0xA6B7	朵	U+6735
0xA6B8	次	U+6B21
0xA6B9	此	U+6B64
0xA6BA	死	U+6B7B
0xA6BB	氖	U+6C16
0xA6BC	汝	U+6C5D
0xA6BD	汗	U+6C57
0xA6BE	汙	U+6C59
0xA6BF	江	U+6C5F
0xA6C0	池	U+6C60
0xA6C1	汐	U+6C50
0xA6C2	汕	U+6C55
0xA6C3	污	U+6C61
0xA6C4	汛	U+6C5B
0xA6C5	汍	U+6C4D
0xA6C6	汎	U+6C4E
0xA6C7	灰	U+7070
0xA6C8	牟	U+725F
0xA6C9	牝	U+725D
0xA6CA	百	U+767E
0xA6CB	竹	U+7AF9
