0xB2B1	脖	U+8116
0xB2B2	膊	U+818A
0xB2B3	渤	U+6E24
0xB2B4	泊	U+6CCA
0xB2B5	驳	U+9A73
0xB2B6	捕	U+6355
0xB2B7	卜	U+535C
0xB2B8	哺	U+54FA
0xB2B9	补	U+8865
0xB2BA	埠	U+57E0
0xB2BB	不	U+4E0D
0xB2BC	布	U+5E03
0xB2BD	步	U+6B65
0xB2BE	簿	U+7C3F
0xB2BF	部	U+90E8
0xB2C0	怖	U+6016
0xB2C1	擦	U+64E6
0xB2C2	猜	U+731C
0xB2C3	裁	U+88C1
0xB2C4	材	U+6750
0xB2C5	才	U+624D
0xB2C6	财	U+8D22
0xB2C7	睬	U+776C
0xB2C8	踩	U+8E29
0xB2C9	采	U+91C7
0xB2CA	彩	U+5F69
0xB2CB	菜	U+83DC
0xB2CC	蔡	U+8521
0xB2CD	餐	U+9910
0xB2CE	参	U+53C2
0xB2CF	蚕	U+8695
0xB2D0	残	U+6B8B
0xB2D1	惭	U+60ED
0xB2D2	惨	U+60E8
0xB2D3	灿	U+707F
0xB2D4	苍	U+82CD
0xB2D5	舱	U+8231
0xB2D6	仓	U+4ED3
0xB2D7	沧	U+6CA7
0xB2D8	藏	U+85CF
0xB2D9	操	U+64CD
0xB2DA	糙	U+7CD9
0xB2DB	槽	U+69FD
0xB2DC	曹	U+66F9
0xB2DD	草	U+8349
0xB2DE	厕	U+5395
0xB2DF	策	U+7B56
0xB2E0	侧	U+4FA7
0xB2E1	册	U+518C
0xB2E2	测	U+6D4B
0xB2E3	层	U+5C42
0xB2E4	蹭	U+8E6D
0xB2E5	插	U+63D2
0xB2E6	叉	U+53C9
0xB2E7	茬	U+832C
0xB2E8	茶	U+8336
0xB2E9	查	U+67E5
0xB2EA	碴	U+78B4
0xB2EB	搽	U+643D
0xB2EC	察	U+5BDF
0xB2ED	岔	U+5C94
0xB2EE	差	U+5DEE
0xB2EF	诧	U+8BE7
0xB2F0	拆	U+62C6
0xB2F1	柴	U+67F4
0xB2F2	豺	U+8C7A
0xB2F3	搀	U+6400
0xB2F4	掺	U+63BA
0xB2F5	蝉	U+8749
0xB2F6	馋	U+998B
0xB2F7	谗	U+8C17
0xB2F8	缠	U+7F20
0xB2F9	铲	U+94F2
0xB2FA	产	U+4EA7
0xB2FB	阐	U+9610
0xB2FC	颤	U+98A4
0xB2FD	昌	U+660C
0xB2FE	猖	U+7316
0xB3A1	场	U+573A
0xB3A2	尝	U+5C1D
0xB3A3	常	U+5E38
0xB3A4	长	U+957F
0xB3A5	偿	U+507F
0xB3A6	肠	U+80A0
0xB3A7	厂	U+5382
0xB3A8	敞	U+655E
0xB3A9	畅	U+7545
0xB3AA	唱	U+5531
0xB3AB	倡	U+5021
0xB3AC	超	U+8D85
0xB3AD	抄	U+6284
0xB3AE	钞	U+949E
0xB3AF	朝	U+671D
0xB3B0	嘲	U+5632
0xB3B1	潮	U+6F6E
0xB3B2	巢	U+5DE2
0xB3B3	吵	U+5435
0xB3B4	炒	U+7092
0xB3B5	车	U+8F66
0xB3B6	扯	U+626F
0xB3B7	撤	U+64A4
0xB3B8	掣	U+63A3
0xB3B9	彻	U+5F7B
0xB3BA	澈	U+6F88
0xB3BB	郴	U+90F4
0xB3BC	臣	U+81E3
0xB3BD	辰	U+8FB0
0xB3BE	尘	U+5C18
0xB3BF	晨	U+6668
0xB3C0	忱	U+5FF1
0xB3C1	沉	U+6C89
0xB3C2	陈	U+9648
0xB3C3	趁	U+8D81
0xB3C4	衬	U+886C
0xB3C5	撑	U+6491
0xB3C6	称	U+79F0
0xB3C7	城	U+57CE
0xB3C8	橙	U+6A59
0xB3C9	成	U+6210
0xB3CA	呈	U+5448
0xB3CB	乘	U+4E58
0xB3CC	程	U+7A0B
0xB3CD	惩	U+60E9
0xB3CE	澄	U+6F84
0xB3CF	诚	U+8BDA
0xB3D0	承	U+627F
